Movie,Year,Show,Date,Category,Winner?,Nominee(s),Birthdate,Age,
Bob & Carol & Ted & Alice,1969,42nd Academy Awards,4/7/1970,Best Supporting Actress,,Dyan Cannon,1/4/1937,33,
"They Shoot Horses, Don't They?",1969,42nd Academy Awards,4/7/1970,Best Supporting Actress,,Susannah York,1/9/1939,31,
Last Summer,1969,42nd Academy Awards,4/7/1970,Best Supporting Actress,,Catherine Burns,9/24/1945,24,
Patton,1970,43rd Academy Awards,4/15/1971,Best Actor,X,George C. Scott (refused the award),10/18/1927,43,
I Never Sang for My Father,1970,43rd Academy Awards,4/15/1971,Best Actor,,Melvyn Douglas,4/5/1901,70,
The Great White Hope,1970,43rd Academy Awards,4/15/1971,Best Actor,,James Earl Jones,1/17/1931,40,
Five Easy Pieces,1970,43rd Academy Awards,4/15/1971,Best Actor,,Jack Nicholson,4/22/1937,34,
Love Story,1970,43rd Academy Awards,4/15/1971,Best Actor,,Ryan O'Neal,4/20/1941,30,
Women in Love,1970,43rd Academy Awards,4/15/1971,Best Actress,X,Glenda Jackson,5/9/1936,34,
Love Story,1970,43rd Academy Awards,4/15/1971,Best Actress,,Ali MacGraw,4/1/1939,32,
The Great White Hope,1970,43rd Academy Awards,4/15/1971,Best Actress,,Jane Alexander,10/28/1939,31,
Ryan's Daughter,1970,43rd Academy Awards,4/15/1971,Best Actress,,Sarah Miles,12/31/1941,29,
Diary of a Mad Housewife,1970,43rd Academy Awards,4/15/1971,Best Actress,,Carrie Snodgress,10/27/1945,25,
Ryan's Daughter,1970,43rd Academy Awards,4/15/1971,Best Supporting Actor,X,John Mills,2/22/1908,63,
Little Big Man,1970,43rd Academy Awards,4/15/1971,Best Supporting Actor,,Chief Dan George,7/24/1899,71,
Love Story,1970,43rd Academy Awards,4/15/1971,Best Supporting Actor,,John Marley,10/17/1907,63,
I Never Sang for My Father,1970,43rd Academy Awards,4/15/1971,Best Supporting Actor,,Gene Hackman,1/30/1930,41,
Lovers and Other Strangers,1970,43rd Academy Awards,4/15/1971,Best Supporting Actor,,Richard Castellano,9/4/1933,37,
Airport,1970,43rd Academy Awards,4/15/1971,Best Supporting Actress,X,Helen Hayes,10/10/1900,70,
Airport,1970,43rd Academy Awards,4/15/1971,Best Supporting Actress,,Maureen Stapleton,6/21/1925,45,
The Landlord,1970,43rd Academy Awards,4/15/1971,Best Supporting Actress,,Lee Grant,10/31/1925,45,
M*A*S*H,1970,43rd Academy Awards,4/15/1971,Best Supporting Actress,,Sally Kellerman,6/2/1937,33,
Five Easy Pieces,1970,43rd Academy Awards,4/15/1971,Best Supporting Actress,,Karen Black,7/1/1939,31,
The French Connection,1971,44th Academy Awards,4/10/1972,Best Actor,X,Gene Hackman,1/30/1930,42,
Sunday Bloody Sunday,1971,44th Academy Awards,4/10/1972,Best Actor,,Peter Finch,9/28/1916,55,
Kotch,1971,44th Academy Awards,4/10/1972,Best Actor,,Walter Matthau,7/1/1920,51,
The Hospital,1971,44th Academy Awards,4/10/1972,Best Actor,,George C. Scott,10/18/1927,44,
Fiddler on the Roof,1971,44th Academy Awards,4/10/1972,Best Actor,,Topol,9/9/1935,36,
Klute,1971,44th Academy Awards,4/10/1972,Best Actress,X,Jane Fonda,12/21/1937,34,
Sunday Bloody Sunday,1971,44th Academy Awards,4/10/1972,Best Actress,,Glenda Jackson,5/9/1936,35,
"Mary, Queen of Scots",1971,44th Academy Awards,4/10/1972,Best Actress,,Vanessa Redgrave,1/30/1937,35,
Nicholas and Alexandra,1971,44th Academy Awards,4/10/1972,Best Actress,,Janet Suzman,2/9/1939,33,
Mccabe & Mrs. Miller,1971,44th Academy Awards,4/10/1972,Best Actress,,Julie Christie,4/14/1941,31,
The Last Picture Show,1971,44th Academy Awards,4/10/1972,Best Supporting Actor,X,Ben Johnson,6/13/1918,53,
Sometimes a Great Notion,1971,44th Academy Awards,4/10/1972,Best Supporting Actor,,Richard Jaeckel,10/10/1926,45,
The French Connection,1971,44th Academy Awards,4/10/1972,Best Supporting Actor,,Roy Scheider,11/10/1932,39,
Fiddler on the Roof,1971,44th Academy Awards,4/10/1972,Best Supporting Actor,,Leonard Frey,9/4/1938,33,
The Last Picture Show,1971,44th Academy Awards,4/10/1972,Best Supporting Actor,,Jeff Bridges,12/4/1949,22,
The Last Picture Show,1971,44th Academy Awards,4/10/1972,Best Supporting Actress,X,Cloris Leachman,4/30/1926,45,
The Go-Between,1971,44th Academy Awards,4/10/1972,Best Supporting Actress,,Margaret Leighton,2/26/1922,50,
The Last Picture Show,1971,44th Academy Awards,4/10/1972,Best Supporting Actress,,Ellen Burstyn,12/7/1932,39,
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,1971,44th Academy Awards,4/10/1972,Best Supporting Actress,,Barbara Harris,7/25/1935,36,
Carnal Knowledge,1971,44th Academy Awards,4/10/1972,Best Supporting Actress,,Ann-Margret,4/28/1941,30,
The Godfather,1972,45th Academy Awards,3/27/1973,Best Actor,X,Marlon Brando (refused the award),4/3/1924,49,
Sleuth,1972,45th Academy Awards,3/27/1973,Best Actor,,Laurence Olivier,5/22/1907,65,
The Ruling Class,1972,45th Academy Awards,3/27/1973,Best Actor,,Peter O'Toole,8/2/1932,40,
Sleuth,1972,45th Academy Awards,3/27/1973,Best Actor,,Michael Caine,3/14/1933,40,
Sounder,1972,45th Academy Awards,3/27/1973,Best Actor,,Paul Winfield,5/22/1939,33,
Cabaret,1972,45th Academy Awards,3/27/1973,Best Actress,X,Liza Minnelli,3/12/1946,27,
Sounder,1972,45th Academy Awards,3/27/1973,Best Actress,,Cicely Tyson,12/19/1933,39,
Travels with My Aunt,1972,45th Academy Awards,3/27/1973,Best Actress,,Maggie Smith,12/28/1934,38,
The Emigrants,1972,45th Academy Awards,3/27/1973,Best Actress,,Liv Ullmann,12/16/1938,34,
Lady Sings the Blues,1972,45th Academy Awards,3/27/1973,Best Actress,,Diana Ross,3/26/1944,29,
Cabaret,1972,45th Academy Awards,3/27/1973,Best Supporting Actor,X,Joel Grey,4/11/1932,40,
The Heartbreak Kid,1972,45th Academy Awards,3/27/1973,Best Supporting Actor,,Eddie Albert,4/22/1906,66,
The Godfather,1972,45th Academy Awards,3/27/1973,Best Supporting Actor,,Robert Duvall,1/5/1931,42,
The Godfather,1972,45th Academy Awards,3/27/1973,Best Supporting Actor,,James Caan,3/26/1940,33,
The Godfather,1972,45th Academy Awards,3/27/1973,Best Supporting Actor,,Al Pacino,4/25/1940,32,
Butterflies Are Free,1972,45th Academy Awards,3/27/1973,Best Supporting Actress,X,Eileen Heckart,3/29/1919,54,
The Poseidon Adventure,1972,45th Academy Awards,3/27/1973,Best Supporting Actress,,Shelley Winters,8/18/1920,52,
Pete 'n' Tillie,1972,45th Academy Awards,3/27/1973,Best Supporting Actress,,Geraldine Page,11/22/1924,48,
Fat City,1972,45th Academy Awards,3/27/1973,Best Supporting Actress,,Susan Tyrrell,3/18/1945,28,
The Heartbreak Kid,1972,45th Academy Awards,3/27/1973,Best Supporting Actress,,Jeannie Berlin,11/1/1949,23,
Save the Tiger,1973,46th Academy Awards,4/2/1974,Best Actor,X,Jack Lemmon,2/8/1925,49,
Last Tango in Paris,1973,46th Academy Awards,4/2/1974,Best Actor,,Marlon Brando,4/3/1924,50,
The Sting,1973,46th Academy Awards,4/2/1974,Best Actor,,Robert Redford,8/18/1936,37,
The Last Detail,1973,46th Academy Awards,4/2/1974,Best Actor,,Jack Nicholson,4/22/1937,36,
Serpico,1973,46th Academy Awards,4/2/1974,Best Actor,,Al Pacino,4/25/1940,33,
A Touch of Class,1973,46th Academy Awards,4/2/1974,Best Actress,X,Glenda Jackson,5/9/1936,37,
"Summer Wishes, Winter Dreams",1973,46th Academy Awards,4/2/1974,Best Actress,,Joanne Woodward,2/27/1930,44,
The Exorcist,1973,46th Academy Awards,4/2/1974,Best Actress,,Ellen Burstyn,12/7/1932,41,
Cinderella Liberty,1973,46th Academy Awards,4/2/1974,Best Actress,,Marsha Mason,4/3/1942,32,
The Way We Were,1973,46th Academy Awards,4/2/1974,Best Actress,,Barbra Streisand,4/24/1942,31,
The Paper Chase,1973,46th Academy Awards,4/2/1974,Best Supporting Actor,X,John Houseman,9/22/1902,71,
Save the Tiger,1973,46th Academy Awards,4/2/1974,Best Supporting Actor,,Jack Gilford,7/25/1908,65,
Bang the Drum Slowly,1973,46th Academy Awards,4/2/1974,Best Supporting Actor,,Vincent Gardenia,1/7/1920,54,
The Exorcist,1973,46th Academy Awards,4/2/1974,Best Supporting Actor,,Jason Miller,4/22/1939,34,
The Last Detail,1973,46th Academy Awards,4/2/1974,Best Supporting Actor,,Randy Quaid,10/1/1950,23,
Paper Moon,1973,46th Academy Awards,4/2/1974,Best Supporting Actress,X,Tatum O'Neal,11/5/1963,10,
"Summer Wishes, Winter Dreams",1973,46th Academy Awards,4/2/1974,Best Supporting Actress,,Sylvia Sidney,8/8/1910,63,
Paper Moon,1973,46th Academy Awards,4/2/1974,Best Supporting Actress,,Madeline Kahn,9/29/1942,31,
American Graffiti,1973,46th Academy Awards,4/2/1974,Best Supporting Actress,,Candy Clark,6/20/1947,26,
The Exorcist,1973,46th Academy Awards,4/2/1974,Best Supporting Actress,,Linda Blair,1/22/1959,15,
Harry and Tonto,1974,47th Academy Awards,4/8/1975,Best Actor,X,Art Carney,11/4/1918,56,
Murder on the Orient Express,1974,47th Academy Awards,4/8/1975,Best Actor,,Albert Finney,5/9/1936,38,
Chinatown,1974,47th Academy Awards,4/8/1975,Best Actor,,Jack Nicholson,4/22/1937,37,
Lenny,1974,47th Academy Awards,4/8/1975,Best Actor,,Dustin Hoffman,8/8/1937,37,
The Godfather Part II,1974,47th Academy Awards,4/8/1975,Best Actor,,Al Pacino,4/25/1940,34,
Alice Doesn't Live Here Anymore,1974,47th Academy Awards,4/8/1975,Best Actress,X,Ellen Burstyn,12/7/1932,42,
A Woman Under the Influence,1974,47th Academy Awards,4/8/1975,Best Actress,,Gena Rowlands,6/19/1930,44,
Claudine,1974,47th Academy Awards,4/8/1975,Best Actress,,Diahann Carroll,7/17/1935,39,
Chinatown,1974,47th Academy Awards,4/8/1975,Best Actress,,Faye Dunaway,1/14/1941,34,
Lenny,1974,47th Academy Awards,4/8/1975,Best Actress,,Valerie Perrine,9/3/1943,31,
The Godfather Part II,1974,47th Academy Awards,4/8/1975,Best Supporting Actor,X,Robert De Niro,8/17/1943,31,
The Towering Inferno,1974,47th Academy Awards,4/8/1975,Best Supporting Actor,,Fred Astaire,5/10/1899,75,
The Godfather Part II,1974,47th Academy Awards,4/8/1975,Best Supporting Actor,,Lee Strasberg,11/17/1901,73,
The Godfather Part II,1974,47th Academy Awards,4/8/1975,Best Supporting Actor,,Michael V. Gazzo,4/5/1923,52,
Thunderbolt and Lightfoot,1974,47th Academy Awards,4/8/1975,Best Supporting Actor,,Jeff Bridges,12/4/1949,25,
Murder on the Orient Express,1974,47th Academy Awards,4/8/1975,Best Supporting Actress,X,Ingrid Bergman,8/29/1915,59,
Day for Night,1974,47th Academy Awards,4/8/1975,Best Supporting Actress,,Valentina Cortese,1/1/1923,52,
Alice Doesn't Live Here Anymore,1974,47th Academy Awards,4/8/1975,Best Supporting Actress,,Diane Ladd,11/29/1935,39,
Blazing Saddles,1974,47th Academy Awards,4/8/1975,Best Supporting Actress,,Madeline Kahn,9/29/1942,32,
The Godfather Part II,1974,47th Academy Awards,4/8/1975,Best Supporting Actress,,Talia Shire,4/25/1946,28,
One Flew Over the Cuckoo's Nest,1975,48th Academy Awards,3/29/1976,Best Actor,X,Jack Nicholson,4/22/1937,38,
The Sunshine Boys,1975,48th Academy Awards,3/29/1976,Best Actor,,Walter Matthau,7/1/1920,55,
"Give 'em Hell, Harry!",1975,48th Academy Awards,3/29/1976,Best Actor,,James Whitmore,10/1/1921,54,
The Man in the Glass Booth,1975,48th Academy Awards,3/29/1976,Best Actor,,Maximilian Schell,12/8/1930,45,
Dog Day Afternoon,1975,48th Academy Awards,3/29/1976,Best Actor,,Al Pacino,4/25/1940,35,
One Flew Over the Cuckoo's Nest,1975,48th Academy Awards,3/29/1976,Best Actress,X,Louise Fletcher,7/22/1934,41,
Hedda,1975,48th Academy Awards,3/29/1976,Best Actress,,Glenda Jackson,5/9/1936,39,
Tommy,1975,48th Academy Awards,3/29/1976,Best Actress,,Ann-Margret,4/28/1941,34,
Hester Street,1975,48th Academy Awards,3/29/1976,Best Actress,,Carol Kane,6/18/1952,23,
The Story of Adele H.,1975,48th Academy Awards,3/29/1976,Best Actress,,Isabelle Adjani,6/27/1955,20,
The Sunshine Boys,1975,48th Academy Awards,3/29/1976,Best Supporting Actor,X,George Burns,1/20/1896,80,
The Day of the Locust,1975,48th Academy Awards,3/29/1976,Best Supporting Actor,,Burgess Meredith,11/16/1907,68,
Shampoo,1975,48th Academy Awards,3/29/1976,Best Supporting Actor,,Jack Warden,9/18/1920,55,
Dog Day Afternoon,1975,48th Academy Awards,3/29/1976,Best Supporting Actor,,Chris Sarandon,7/24/1942,33,
One Flew Over the Cuckoo's Nest,1975,48th Academy Awards,3/29/1976,Best Supporting Actor,,Brad Dourif,3/18/1950,26,
Shampoo,1975,48th Academy Awards,3/29/1976,Best Supporting Actress,X,Lee Grant,10/31/1925,50,
"Farewell, My Lovely",1975,48th Academy Awards,3/29/1976,Best Supporting Actress,,Sylvia Miles,9/9/1932,43,
Nashville,1975,48th Academy Awards,3/29/1976,Best Supporting Actress,,Lily Tomlin,9/1/1939,36,
Jacqueline Susann's Once Is Not Enough,1975,48th Academy Awards,3/29/1976,Best Supporting Actress,,Brenda Vaccaro,11/18/1939,36,
Nashville,1975,48th Academy Awards,3/29/1976,Best Supporting Actress,,Ronee Blakely,8/24/1945,30,
Network,1976,49th Academy Awards,3/28/1977,Best Actor,X,Peter Finch,9/28/1916,60,
Network,1976,49th Academy Awards,3/28/1977,Best Actor,,William Holden,4/17/1918,58,
Seven Beauties,1976,49th Academy Awards,3/28/1977,Best Actor,,Giancarlo Giannini,8/1/1942,34,
Taxi Driver,1976,49th Academy Awards,3/28/1977,Best Actor,,Robert De Niro,8/17/1943,33,
Rocky,1976,49th Academy Awards,3/28/1977,Best Actor,,Sylvester Stallone,7/6/1946,30,
Network,1976,49th Academy Awards,3/28/1977,Best Actress,X,Faye Dunaway,1/14/1941,36,
Face to Face,1976,49th Academy Awards,3/28/1977,Best Actress,,Liv Ullmann,12/16/1938,38,
"Cousin, Cousine",1976,49th Academy Awards,3/28/1977,Best Actress,,Marie-Christine Barrault,3/21/1944,33,
Rocky,1976,49th Academy Awards,3/28/1977,Best Actress,,Talia Shire,4/25/1946,30,
Carrie,1976,49th Academy Awards,3/28/1977,Best Actress,,Sissy Spacek,12/25/1949,27,
All the President's Men,1976,49th Academy Awards,3/28/1977,Best Supporting Actor,X,Jason Robards,7/26/1922,54,
Marathon Man,1976,49th Academy Awards,3/28/1977,Best Supporting Actor,,Laurence Olivier,5/22/1907,69,
Rocky,1976,49th Academy Awards,3/28/1977,Best Supporting Actor,,Burgess Meredith,11/16/1907,69,
Network,1976,49th Academy Awards,3/28/1977,Best Supporting Actor,,Ned Beatty,7/6/1937,39,
Rocky,1976,49th Academy Awards,3/28/1977,Best Supporting Actor,,Burt Young,4/30/1940,36,
Network,1976,49th Academy Awards,3/28/1977,Best Supporting Actress,X,Beatrice Straight,8/2/1914,62,
Voyage of the Damned,1976,49th Academy Awards,3/28/1977,Best Supporting Actress,,Lee Grant,10/31/1925,51,
Carrie,1976,49th Academy Awards,3/28/1977,Best Supporting Actress,,Piper Laurie,1/22/1932,45,
All the President's Men,1976,49th Academy Awards,3/28/1977,Best Supporting Actress,,Jane Alexander,10/28/1939,37,
Taxi Driver,1976,49th Academy Awards,3/28/1977,Best Supporting Actress,,Jodie Foster,11/19/1962,14,
The Goodbye Girl,1977,50th Academy Awards,4/3/1978,Best Actor,X,Richard Dreyfuss,10/29/1947,30,
A Special Day,1977,50th Academy Awards,4/3/1978,Best Actor,,Marcello Mastroianni,9/28/1924,53,
Equus,1977,50th Academy Awards,4/3/1978,Best Actor,,Richard Burton,11/10/1925,52,
Annie Hall,1977,50th Academy Awards,4/3/1978,Best Actor,,Woody Allen,12/1/1935,42,
Saturday Night Fever,1977,50th Academy Awards,4/3/1978,Best Actor,,John Travolta,2/18/1954,24,
Annie Hall,1977,50th Academy Awards,4/3/1978,Best Actress,X,Diane Keaton,1/5/1946,32,
The Turning Point,1977,50th Academy Awards,4/3/1978,Best Actress,,Anne Bancroft,9/17/1931,46,
The Turning Point,1977,50th Academy Awards,4/3/1978,Best Actress,,Shirley MacLaine,4/24/1934,43,
Julia,1977,50th Academy Awards,4/3/1978,Best Actress,,Jane Fonda,12/21/1937,40,
The Goodbye Girl,1977,50th Academy Awards,4/3/1978,Best Actress,,Marsha Mason,4/3/1942,36,
Julia,1977,50th Academy Awards,4/3/1978,Best Supporting Actor,X,Jason Robards,7/26/1922,55,
Star Wars,1977,50th Academy Awards,4/3/1978,Best Supporting Actor,,Alec Guinness,4/2/1914,64,
Julia,1977,50th Academy Awards,4/3/1978,Best Supporting Actor,,Maximilian Schell,12/8/1930,47,
The Turning Point,1977,50th Academy Awards,4/3/1978,Best Supporting Actor,,Mikhail Baryshnikov,1/27/1948,30,
Equus,1977,50th Academy Awards,4/3/1978,Best Supporting Actor,,Peter Firth,10/27/1953,24,
Julia,1977,50th Academy Awards,4/3/1978,Best Supporting Actress,X,Vanessa Redgrave,1/30/1937,41,
Close Encounters of the Third Kind,1977,50th Academy Awards,4/3/1978,Best Supporting Actress,,Melinda Dillon,10/13/1939,38,
Looking for Mr. Goodbar,1977,50th Academy Awards,4/3/1978,Best Supporting Actress,,Tuesday Weld,8/27/1943,34,
The Turning Point,1977,50th Academy Awards,4/3/1978,Best Supporting Actress,,Leslie Browne,6/29/1957,20,
The Goodbye Girl,1977,50th Academy Awards,4/3/1978,Best Supporting Actress,,Quinn Cummings,8/13/1967,10,
Coming Home,1978,51st Academy Awards,4/9/1979,Best Actor,X,Jon Voight,12/29/1938,40,
The Boys From Brazil,1978,51st Academy Awards,4/9/1979,Best Actor,,Laurence Olivier,5/22/1907,71,
Heaven Can Wait,1978,51st Academy Awards,4/9/1979,Best Actor,,Warren Beatty,3/30/1937,42,
The Deer Hunter,1978,51st Academy Awards,4/9/1979,Best Actor,,Robert De Niro,8/17/1943,35,
The Buddy Holly Story,1978,51st Academy Awards,4/9/1979,Best Actor,,Gary Busey,6/24/1944,34,
Coming Home,1978,51st Academy Awards,4/9/1979,Best Actress,X,Jane Fonda,12/21/1937,41,
Autumn Sonata,1978,51st Academy Awards,4/9/1979,Best Actress,,Ingrid Bergman,8/29/1915,63,
Interiors,1978,51st Academy Awards,4/9/1979,Best Actress,,Geraldine Page,11/22/1924,54,
"Same Time, Next Year",1978,51st Academy Awards,4/9/1979,Best Actress,,Ellen Burstyn,12/7/1932,46,
An Unmarried Woman,1978,51st Academy Awards,4/9/1979,Best Actress,,Jill Clayburgh,4/30/1944,34,
The Deer Hunter,1978,51st Academy Awards,4/9/1979,Best Supporting Actor,X,Christopher Walken,3/31/1943,36,
Comes a Horseman,1978,51st Academy Awards,4/9/1979,Best Supporting Actor,,Richard Farnsworth,9/1/1920,58,
Heaven Can Wait,1978,51st Academy Awards,4/9/1979,Best Supporting Actor,,Jack Warden,9/18/1920,58,
Coming Home,1978,51st Academy Awards,4/9/1979,Best Supporting Actor,,Bruce Dern,6/4/1936,42,
Midnight Express,1978,51st Academy Awards,4/9/1979,Best Supporting Actor,,John Hurt,1/22/1940,39,
California Suite,1978,51st Academy Awards,4/9/1979,Best Supporting Actress,X,Maggie Smith,12/28/1934,44,
Interiors,1978,51st Academy Awards,4/9/1979,Best Supporting Actress,,Maureen Stapleton,6/21/1925,53,
Heaven Can Wait,1978,51st Academy Awards,4/9/1979,Best Supporting Actress,,Dyan Cannon,1/4/1937,42,
Coming Home,1978,51st Academy Awards,4/9/1979,Best Supporting Actress,,Penelope Milford,3/25/1948,31,
The Deer Hunter,1978,51st Academy Awards,4/9/1979,Best Supporting Actress,,Meryl Streep,6/22/1949,29,
Kramer vs. Kramer,1979,52nd Academy Awards,4/14/1980,Best Actor,X,Dustin Hoffman,8/8/1937,42,
The China Syndrome,1979,52nd Academy Awards,4/14/1980,Best Actor,,Jack Lemmon,2/8/1925,55,
Being There,1979,52nd Academy Awards,4/14/1980,Best Actor,,Peter Sellers,9/8/1925,54,
All That Jazz,1979,52nd Academy Awards,4/14/1980,Best Actor,,Roy Scheider,11/10/1932,47,
...and Justice for All,1979,52nd Academy Awards,4/14/1980,Best Actor,,Al Pacino,4/25/1940,39,
Norma Rae,1979,52nd Academy Awards,4/14/1980,Best Actress,X,Sally Field,11/6/1946,33,
The China Syndrome,1979,52nd Academy Awards,4/14/1980,Best Actress,,Jane Fonda,12/21/1937,42,
Chapter Two,1979,52nd Academy Awards,4/14/1980,Best Actress,,Marsha Mason,4/3/1942,38,
Starting Over,1979,52nd Academy Awards,4/14/1980,Best Actress,,Jill Clayburgh,4/30/1944,35,
The Rose,1979,52nd Academy Awards,4/14/1980,Best Actress,,Bette Midler,12/1/1945,34,
Being There,1979,52nd Academy Awards,4/14/1980,Best Supporting Actor,X,Melvyn Douglas,4/5/1901,79,
The Black Stallion,1979,52nd Academy Awards,4/14/1980,Best Supporting Actor,,Mickey Rooney,9/23/1920,59,
Apocalypse Now,1979,52nd Academy Awards,4/14/1980,Best Supporting Actor,,Robert Duvall,1/5/1931,49,
The Rose,1979,52nd Academy Awards,4/14/1980,Best Supporting Actor,,Frederic Forrest,12/23/1936,43,
Kramer vs. Kramer,1979,52nd Academy Awards,4/14/1980,Best Supporting Actor,,Justin Henry,5/25/1971,8,
Kramer vs. Kramer,1979,52nd Academy Awards,4/14/1980,Best Supporting Actress,X,Meryl Streep,6/22/1949,30,
Breaking Away,1979,52nd Academy Awards,4/14/1980,Best Supporting Actress,,Barbara Barrie,5/23/1931,48,
Kramer vs. Kramer,1979,52nd Academy Awards,4/14/1980,Best Supporting Actress,,Jane Alexander,10/28/1939,40,
Starting Over,1979,52nd Academy Awards,4/14/1980,Best Supporting Actress,,Candice Bergen,5/9/1946,33,
Manhattan,1979,52nd Academy Awards,4/14/1980,Best Supporting Actress,,Mariel Hemingway,11/22/1961,18,
Raging Bull,1980,53rd Academy Awards,3/31/1981,Best Actor,X,Robert De Niro,8/17/1943,37,
Tribute,1980,53rd Academy Awards,3/31/1981,Best Actor,,Jack Lemmon,2/8/1925,56,
The Great Santini,1980,53rd Academy Awards,3/31/1981,Best Actor,,Robert Duvall,1/5/1931,50,
The Stunt Man,1980,53rd Academy Awards,3/31/1981,Best Actor,,Peter O'Toole,8/2/1932,48,
The Elephant Man,1980,53rd Academy Awards,3/31/1981,Best Actor,,John Hurt,1/22/1940,41,
Coal Miner's Daughter,1980,53rd Academy Awards,3/31/1981,Best Actress,X,Sissy Spacek,12/25/1949,31,
Gloria,1980,53rd Academy Awards,3/31/1981,Best Actress,,Gena Rowlands,6/19/1930,50,
Resurrection,1980,53rd Academy Awards,3/31/1981,Best Actress,,Ellen Burstyn,12/7/1932,48,
Ordinary People,1980,53rd Academy Awards,3/31/1981,Best Actress,,Mary Tyler Moore,12/29/1936,44,
Private Benjamin,1980,53rd Academy Awards,3/31/1981,Best Actress,,Goldie Hawn,11/21/1945,35,
Ordinary People,1980,53rd Academy Awards,3/31/1981,Best Supporting Actor,X,Timothy Hutton,8/16/1960,20,
Melvin and Howard,1980,53rd Academy Awards,3/31/1981,Best Supporting Actor,,Jason Robards,7/26/1922,58,
Ordinary People,1980,53rd Academy Awards,3/31/1981,Best Supporting Actor,,Judd Hirsch,3/15/1935,46,
Raging Bull,1980,53rd Academy Awards,3/31/1981,Best Supporting Actor,,Joe Pesci,2/9/1943,38,
The Great Santini,1980,53rd Academy Awards,3/31/1981,Best Supporting Actor,,Michael O'Keefe,4/24/1955,25,
Melvin and Howard,1980,53rd Academy Awards,3/31/1981,Best Supporting Actress,X,Mary Steenburgen,2/8/1953,28,
Resurrection,1980,53rd Academy Awards,3/31/1981,Best Supporting Actress,,Eva Le Gallienne,1/11/1899,82,
Private Benjamin,1980,53rd Academy Awards,3/31/1981,Best Supporting Actress,,Eileen Brennan,9/3/1932,48,
Inside Moves,1980,53rd Academy Awards,3/31/1981,Best Supporting Actress,,Diana Scarwid,8/27/1955,25,
Raging Bull,1980,53rd Academy Awards,3/31/1981,Best Supporting Actress,,Cathy Moriarty,11/29/1960,20,
On Golden Pond,1981,54th Academy Awards,3/29/1982,Best Actor,X,Henry Fonda,5/16/1905,76,
Atlantic City,1981,54th Academy Awards,3/29/1982,Best Actor,,Burt Lancaster,11/2/1913,68,
Absence of Malice,1981,54th Academy Awards,3/29/1982,Best Actor,,Paul Newman,1/26/1925,57,
Arthur,1981,54th Academy Awards,3/29/1982,Best Actor,,Dudley Moore,4/19/1935,46,
Reds,1981,54th Academy Awards,3/29/1982,Best Actor,,Warren Beatty,3/30/1937,45,
On Golden Pond,1981,54th Academy Awards,3/29/1982,Best Actress,X,Katharine Hepburn,5/12/1907,74,
Only When I Laugh,1981,54th Academy Awards,3/29/1982,Best Actress,,Marsha Mason,4/3/1942,40,
Reds,1981,54th Academy Awards,3/29/1982,Best Actress,,Diane Keaton,1/5/1946,36,
Atlantic City,1981,54th Academy Awards,3/29/1982,Best Actress,,Susan Sarandon,10/4/1946,35,
The French Lieutenant's Woman,1981,54th Academy Awards,3/29/1982,Best Actress,,Meryl Streep,6/22/1949,32,
Arthur,1981,54th Academy Awards,3/29/1982,Best Supporting Actor,X,John Gielgud,4/14/1904,78,
Only When I Laugh,1981,54th Academy Awards,3/29/1982,Best Supporting Actor,,James Coco,3/21/1930,52,
Chariots of Fire,1981,54th Academy Awards,3/29/1982,Best Supporting Actor,,Ian Holm,9/12/1931,50,
Reds,1981,54th Academy Awards,3/29/1982,Best Supporting Actor,,Jack Nicholson,4/22/1937,44,
Ragtime,1981,54th Academy Awards,3/29/1982,Best Supporting Actor,,"Howard E. Rollins, Jr.",10/17/1950,31,
Reds,1981,54th Academy Awards,3/29/1982,Best Supporting Actress,X,Maureen Stapleton,6/21/1925,56,
Only When I Laugh,1981,54th Academy Awards,3/29/1982,Best Supporting Actress,,Joan Hackett,3/1/1934,48,
On Golden Pond,1981,54th Academy Awards,3/29/1982,Best Supporting Actress,,Jane Fonda,12/21/1937,44,
Absence of Malice,1981,54th Academy Awards,3/29/1982,Best Supporting Actress,,Melinda Dillon,10/13/1939,42,
Ragtime,1981,54th Academy Awards,3/29/1982,Best Supporting Actress,,Elizabeth McGovern,7/18/1961,20,
Gandhi,1982,55th Academy Awards,4/11/1983,Best Actor,X,Ben Kingsley,12/31/1943,39,
The Verdict,1982,55th Academy Awards,4/11/1983,Best Actor,,Paul Newman,1/26/1925,58,
Missing,1982,55th Academy Awards,4/11/1983,Best Actor,,Jack Lemmon,2/8/1925,58,
My Favorite Year,1982,55th Academy Awards,4/11/1983,Best Actor,,Peter O'Toole,8/2/1932,50,
Tootsie,1982,55th Academy Awards,4/11/1983,Best Actor,,Dustin Hoffman,8/8/1937,45,
Sophie's Choice,1982,55th Academy Awards,4/11/1983,Best Actress,X,Meryl Streep,6/22/1949,33,
Victor/Victoria,1982,55th Academy Awards,4/11/1983,Best Actress,,Julie Andrews,10/1/1935,47,
Frances,1982,55th Academy Awards,4/11/1983,Best Actress,,Jessica Lange,4/20/1949,33,
Missing,1982,55th Academy Awards,4/11/1983,Best Actress,,Sissy Spacek,12/25/1949,33,
An Officer and a Gentleman,1982,55th Academy Awards,4/11/1983,Best Actress,,Debra Winger,5/16/1955,27,
